"strategy","audit_id","score","selector","snippet","explanation"
"mobile","color-contrast","0","div.section-header-grid > div.section-header-subtitle > div.section-microstats > span","<span>","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"mobile","color-contrast","0","div.section-header > div.section-header-grid > div.section-header-subtitle > p","<p data-t=""ab.subtitle"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"mobile","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p1"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"mobile","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p2"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"mobile","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p3"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"mobile","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p4"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"mobile","color-contrast","0","div.grid > div.flex > div.w-10 > span.font-display","<span class=""font-display font-bold text-lg text-[#BE9C6E]/80"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"desktop","color-contrast","0","div.section-header-grid > div.section-header-subtitle > div.section-microstats > span","<span>","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"desktop","color-contrast","0","div.section-header > div.section-header-grid > div.section-header-subtitle > p","<p data-t=""ab.subtitle"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"desktop","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p2"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"desktop","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p3"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"desktop","color-contrast","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p4"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
"desktop","color-contrast","0","div.grid > div.flex > div.w-10 > span.font-display","<span class=""font-display font-bold text-lg text-[#BE9C6E]/80"">","As cores de primeiro e segundo plano ṇo t̻m uma taxa de contraste suficiente."
