"strategy","audit_id","audit","score","selector","snippet","explanation"
"mobile","color-contrast","Contraste","0","div.section-header-grid > div.section-header-subtitle > div.section-microstats > span","<span data-t=""s4.stat1"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.col-span-1 > div.relative > div.flex > span.font-mono","<span class=""font-mono text-[10px] text-accent-600 font-bold tracking-[0.25em] uppercasâ€¦"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.col-span-1 > div.relative > div.flex > span.font-mono","<span class=""font-mono text-[10px] text-accent-600 font-bold tracking-[0.25em] uppercasâ€¦"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.col-span-1 > div.relative > div.flex > span.font-mono","<span class=""font-mono text-[10px] text-accent-600 font-bold tracking-[0.25em] uppercasâ€¦"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.col-span-1 > div.relative > div.flex > span.font-mono","<span class=""font-mono text-[10px] text-accent-600 font-bold tracking-[0.25em] uppercasâ€¦"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.section-header-grid > div.section-header-subtitle > div.section-microstats > span","<span data-t=""s3.header.meta"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.section-header-grid > div.section-header-subtitle > div.section-microstats > span","<span data-t=""s5.stat1"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.section-header > div.section-header-grid > div.section-header-subtitle > p","<p data-t=""s5.desc"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.section-header-grid > div.section-header-subtitle > div.section-microstats > span","<span>","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.section-header > div.section-header-grid > div.section-header-subtitle > p","<p data-t=""ab.subtitle"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p2"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p3"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.max-w-[1440px] > div.about-layout > div.about-narrative > p.editorial-reveal","<p class=""editorial-reveal"" data-t=""ab.p4"" style=""translate: none; rotate: none; scale: none; filter: blur(0px);"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.max-w-[1440px] > div.about-grid > article.about-card > span.about-card-index","<span class=""about-card-index"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.max-w-[1440px] > div.about-grid > article.about-card > span.about-card-index","<span class=""about-card-index"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
"mobile","color-contrast","Contraste","0","div.max-w-[1440px] > div.about-grid > article.about-card > span.about-card-index","<span class=""about-card-index"">","As cores de primeiro e segundo plano nÃ£o tÃªm uma taxa de contraste suficiente."
