"strategy","audit_id","title","score","score_display_mode","display_value","numeric_value"
"desktop","cache-insight","Use ciclos de vida eficientes de cache","0,5","metricSavings","Economia estimada de 637 KiB",""
"desktop","cumulative-layout-shift","Cumulative Layout Shift","1","numeric","0,031","0,031438999999999995"
"desktop","forced-reflow-insight","Reflow forÃ§ado","0","numeric","",""
"desktop","image-delivery-insight","Melhorar a entrega de imagens","0,5","metricSavings","Economia estimada de 568 KiB",""
"desktop","network-dependency-tree-insight","Ãrvore de dependÃªncia da rede","0","numeric","",""
"mobile","cache-insight","Use ciclos de vida eficientes de cache","0,5","metricSavings","Economia estimada de 499 KiB",""
"mobile","cumulative-layout-shift","Cumulative Layout Shift","1","numeric","0","0"
"mobile","forced-reflow-insight","Reflow forÃ§ado","0","numeric","",""
"mobile","image-delivery-insight","Melhorar a entrega de imagens","0,5","metricSavings","Economia estimada de 410 KiB",""
"mobile","mainthread-work-breakdown","Minimize o trabalho da thread principal","0,5","metricSavings","2,2Â s","2205,8568000000114"
"mobile","network-dependency-tree-insight","Ãrvore de dependÃªncia da rede","0","numeric","",""
