"strategy","audit_id","title","score","score_display_mode","display_value","numeric_value"
"desktop","forced-reflow-insight","Reflow forÃ§ado","0","numeric",,
"desktop","network-dependency-tree-insight","Ãrvore de dependÃªncia da rede","0","numeric",,
"desktop","max-potential-fid","Max Potential First Input Delay","0,23","numeric","360Â ms","359,9999999999999"
"desktop","cache-insight","Use ciclos de vida eficientes de cache","0,5","metricSavings","Economia estimada de 637 KiB",
"desktop","image-delivery-insight","Melhorar a entrega de imagens","0,5","metricSavings","Economia estimada de 568 KiB",
"desktop","first-contentful-paint","First Contentful Paint","0,94","numeric","0,8Â s","816,0324127697763"
"desktop","speed-index","Speed Index","0,95","numeric","1,1Â s","1119,2488416112005"
"desktop","total-blocking-time","Total Blocking Time","0,96","numeric","110Â ms","106,73331748578835"
"desktop","largest-contentful-paint","Largest Contentful Paint","0,97","numeric","0,9Â s","876,0356790228217"
"desktop","cumulative-layout-shift","Cumulative Layout Shift","1","numeric","0,031","0,031438999999999995"
"mobile","forced-reflow-insight","Reflow forÃ§ado","0","numeric",,
"mobile","network-dependency-tree-insight","Ãrvore de dependÃªncia da rede","0","numeric",,
"mobile","first-contentful-paint","First Contentful Paint","0,32","numeric","3,6Â s","3613,178558998011"
"mobile","cache-insight","Use ciclos de vida eficientes de cache","0,5","metricSavings","Economia estimada de 499 KiB",
"mobile","image-delivery-insight","Melhorar a entrega de imagens","0,5","metricSavings","Economia estimada de 410 KiB",
"mobile","mainthread-work-breakdown","Minimize o trabalho da thread principal","0,5","metricSavings","2,2Â s","2205,8568000000114"
"mobile","largest-contentful-paint","Largest Contentful Paint","0,6","numeric","3,6Â s","3613,178558998011"
"mobile","speed-index","Speed Index","0,87","numeric","3,6Â s","3613,178558998011"
"mobile","interactive","Time to Interactive","0,91","numeric","3,6Â s","3613,178558998011"
"mobile","cumulative-layout-shift","Cumulative Layout Shift","1","numeric","0","0"
