class,count
"font-mono",51
"uppercase",47
"relative",41
"block",36
"flex",29
"tracking-[0]",27
"text-[10px]",26
"absolute",25
"font-bold",23
"col-span-1",20
"text-[8px]",20
"text-white/30",20
"tracking-[0.2em]",20
"overflow-hidden",19
"w-full",19
"items-center",18
"duration-[1.5s]",16
"leading-tight",16
"mb-2",16
"md:text-[11px]",16
"md:text-[9px]",16
"text-white/90",16
"transition-colors",16
"transition-transform",16
"z-10",16
"font-display",15
"text-support-300",15
"editorial-reveal",14
"border",12
"inset-0",12
"z-20",12
"ease-out",11
"flex-col",11
"leading-relaxed",10
"text-white",10
"transform",10
"gap-4",9
"grid",9
"group",9
"max-w-[1440px]",9
"about-card-index",8
"bg-[#0B0F14]",8
"font-body",8
"group-hover:translate-x-1",8
"h-full",8
"impact-card-side",8
"impact-label",8
"md:text-base",8
"mx-auto",8
"text-text-primary",8
"text-text-secondary",8
"text-white/50",8
"top-5",8
"hover:text-accent-500",7
"px-6",7
"py-2",7
"transition-opacity",7
"h-[1px]",6
"justify-between",6
"mb-16",6
"nbg",6
"w-6",6
"about-card",5
"backdrop-blur-md",5
"bg-accent-500",5
"border-support-500",5
"border-t",5
"contact-action",5
"duration-300",5
"mb-10",5
"mb-8",5
"md:text-3xl",5
"pt-6",5
"px-1",5
"rounded-full",5
"section-header",5
"section-header-grid",5
"section-header-subtitle",5
"section-header-title",5
"section-header-title-col",5
"section-kicker",5
"text-2xl",5
"text-sm",5
"tracking-[0.25em]",5
"aspect-[4/5]",4
"behavioral-svg",4
"bg-base-100/50",4
"bg-gradient-to-b",4
"bg-white/30",4
"border-support-200/40",4
"border-white/10",4
"case-card",4
"dot",4
"duration-1000",4
"duration-500",4
"flex-grow",4
"font-light",4
"framework-card",4
"from-black/20",4
"grid-cols-1",4
"grid-cols-4",4
"group-hover:-translate-y-1",4
"group-hover:opacity-80",4
"group-hover:text-[#8C7D6E]",4
"group-hover:text-white",4
"h-2.5",4
"impact-cell",4
"impact-desc",4
"impact-dimension",4
"impact-evidence",4
"impact-icon-wrapper",4
"impact-tag",4
"items-start",4
"leading-[0.9]",4
"left-5",4
"lg:col-span-2",4
"max-w-[35ch]",4
"mb-4",4
"mb-auto",4
"md:aspect-square",4
"md:col-span-2",4
"md:mb-24",4
"md:p-10",4
"md:text-[2.8rem]",4
"mx-3",4
"object-cover",4
"opacity-0",4
"opacity-30",4
"opacity-80",4
"p-8",4
"pb-10",4
"pointer-events-none",4
"pr-16",4
"pt-8",4
"px-10",4
"right-5",4
"right-8",4
"rounded-[4px]",4
"scale-150",4
"scale-[1.02]",4
"section-microcopy",4
"section-microstats",4
"shadow-2xl",4
"shadow-black/20",4
"text-[13px]",4
"text-[2.2rem]",4
"text-accent-600",4
"text-lg",4
"text-white/80",4
"to-[#0B0F14]",4
"top-20",4
"tracking-widest",4
"transition-all",4
"via-transparent",4
"w-2.5",4
"z-[3]",4
"bg-support-400",3
"contact-intent-card",3
"gap-2",3
"gap-3",3
"h-[2px]",3
"justify-center",3
"md:grid-cols-2",3
"md:text-[10px]",3
"md:text-xl",3
"origin-right",3
"section-pad",3
"text-[9px]",3
"z-50",3
"bg-accent-600",2
"bg-page",2
"duration-[2s]",2
"editorial-dark-section",2
"fixed",2
"font-semibold",2
"gap-12",2
"gap-8",2
"hidden",2
"hl-i",2
"hover:-translate-y-[1px]",2
"inline-flex",2
"lang-btn",2
"magnetic-wrap",2
"marquee-content",2
"md:hidden",2
"px-4",2
"py-4",2
"reveal-mask",2
"reveal-text",2
"rotate-45",2
"section-header--dark",2
"sr-only",2
"text-[#c4beb4]/60",2
"text-[12px]",2
"text-text-tertiary",2
"w-12",2
"w-8",2
"about-grid",1
"about-layout",1
"about-narrative",1
"about-photo-caption",1
"about-photo-frame",1
"about-section",1
"active",1
"active:translate-y-0",1
"avail-dot-v2",1
"availability-badge-v2",1
"bg-[#2d180e]",1
"bg-accent-500/10",1
"bg-accent-500/30",1
"bg-accent-700",1
"bg-base-100",1
"bg-base-100/60",1
"bg-base-200",1
"bg-black",1
"bg-opacity-50",1
"bg-white",1
"border-[#BE9C6E]/25",1
"border-[#f2efe9]/10",1
"border-accent-500",1
"border-support-300",1
"clients-label",1
"clients-marquee",1
"clients-strip",1
"clients-strip-inner",1
"contact-action--primary",1
"contact-actions",1
"contact-intent-grid",1
"contact-section",1
"cta-wrapper",1
"delay-100",1
"delay-200",1
"ease-in-out",1
"eyebrow-line",1
"eyebrow-text",1
"flex-shrink-0",1
"flex-wrap",1
"focus:absolute",1
"focus:left-4",1
"focus:not-sr-only",1
"focus:top-4",1
"gap-1.5",1
"grid-cols-2",1
"group-hover:-translate-y-[1px]",1
"group-hover:rotate-90",1
"group-hover:scale-110",1
"group-hover:scale-90",1
"group-hover:scale-x-110",1
"group-hover:scale-x-125",1
"group-hover:scale-x-95",1
"group-hover:scale-y-100",1
"group-hover:translate-x-1.5",1
"group-hover:translate-y-0",1
"h-1.5",1
"h-10",1
"h-2",1
"h-3",1
"h-6",1
"h-7",1
"hover:shadow-[0_4px_20px_rgba(158,130,92,0.35)]",1
"hover:text-[#BE9C6E]",1
"impact-grid",1
"inset-1.5",1
"items-end",1
"leading-[0.95]",1
"leading-[1.1]",1
"left-0",1
"lg:col-span-10",1
"lg:grid-cols-12",1
"lg:grid-cols-4",1
"lg:text-4xl",1
"liquid-glass",1
"marquee",1
"max-w-2xl",1
"max-w-[75ch]",1
"max-w-xl",1
"mb-1",1
"mb-12",1
"md:flex",1
"md:flex-row",1
"md:gap-16",1
"md:gap-6",1
"md:mb-20",1
"md:ml-auto",1
"md:px-12",1
"md:self-end",1
"md:text-4xl",1
"md:text-right",1
"md:text-xs",1
"md:w-[90%]",1
"min-h-[100dvh]",1
"mobile-menu",1
"mobile-menu-toggle",1
"mr-1",1
"mt-1",1
"nav-lang",1
"nav-links",1
"object-top",1
"origin-bottom",1
"origin-left",1
"overflow-visible",1
"overflow-x-hidden",1
"p-6",1
"pb-16",1
"pt-10",1
"pt-32",1
"px-8",1
"py-20",1
"right-3",1
"rounded",1
"rounded-lg",1
"rounded-sm",1
"scale-y-0",1
"shadow-[0_2px_12px_rgba(158,130,92,0.25)]",1
"space-y-6",1
"sub",1
"text-3xl",1
"text-5xl",1
"text-[#BE9C6E]/80",1
"text-[#c4beb4]/78",1
"text-[#f2efe9]",1
"text-[#f2efe9]/85",1
"text-[#f2efe9]/90",1
"text-[6em]",1
"text-balance",1
"text-base",1
"text-left",1
"text-support-400",1
"text-support-600",1
"top-0",1
"top-3",1
"tracking-[0.15em]",1
"tracking-wide",1
"translate-y-full",1
"w-1.5",1
"w-10",1
"w-2",1
"w-3",1
"w-7",1
"whitespace-nowrap",1
"xl:gap-12",1
