"Skill","Status","Command"
"ui-ux-pro-max","OK","npx skills add nextlevelbuilder/ui-ux-pro-max-skill --skill ui-ux-pro-max --agent codex claude-code antigravity gemini-cli -y --copy"
"frontend-design","OK","npx skills add anthropics/skills --skill frontend-design --agent codex claude-code antigravity gemini-cli -y --copy"
"web-design-guidelines","OK","npx skills add vercel-labs/agent-skills --skill web-design-guidelines --agent codex claude-code antigravity gemini-cli -y --copy"
"design-taste-frontend","OK","npx skills add https://github.com/Leonxlnx/taste-skill --skill design-taste-frontend --agent codex claude-code antigravity gemini-cli -y --copy"
"high-end-visual-design","OK","npx skills add https://github.com/Leonxlnx/taste-skill --skill high-end-visual-design --agent codex claude-code antigravity gemini-cli -y --copy"
"minimalist-ui","OK","npx skills add https://github.com/Leonxlnx/taste-skill --skill minimalist-ui --agent codex claude-code antigravity gemini-cli -y --copy"
"redesign-existing-projects","OK","npx skills add https://github.com/Leonxlnx/taste-skill --skill redesign-existing-projects --agent codex claude-code antigravity gemini-cli -y --copy"
"image-to-code","OK","npx skills add https://github.com/Leonxlnx/taste-skill --skill image-to-code --agent codex claude-code antigravity gemini-cli -y --copy"
"full-output-enforcement","OK","npx skills add https://github.com/Leonxlnx/taste-skill --skill full-output-enforcement --agent codex claude-code antigravity gemini-cli -y --copy"
"impeccable","OK","npx skills add pbakaus/impeccable --agent codex claude-code antigravity gemini-cli -y --copy"
"impeccable-critique","FAIL_1","npx skills add pbakaus/impeccable --skill critique --agent codex claude-code antigravity gemini-cli -y --copy"
"impeccable-polish","FAIL_1","npx skills add pbakaus/impeccable --skill polish --agent codex claude-code antigravity gemini-cli -y --copy"
"impeccable-audit","FAIL_1","npx skills add pbakaus/impeccable --skill audit --agent codex claude-code antigravity gemini-cli -y --copy"
"extract-design-system","OK","npx skills add arvindrk/extract-design-system --agent codex claude-code antigravity gemini-cli -y --copy"
"copywriting","OK","npx skills add coreyhaines31/marketingskills --skill copywriting --agent codex claude-code antigravity gemini-cli -y --copy"
"copy-editing","OK","npx skills add coreyhaines31/marketingskills --skill copy-editing --agent codex claude-code antigravity gemini-cli -y --copy"
"content-strategy","OK","npx skills add coreyhaines31/marketingskills --skill content-strategy --agent codex claude-code antigravity gemini-cli -y --copy"
"seo-audit","OK","npx skills add coreyhaines31/marketingskills --skill seo-audit --agent codex claude-code antigravity gemini-cli -y --copy"
"writing-plans","OK","npx skills add obra/superpowers --skill writing-plans --agent codex claude-code antigravity gemini-cli -y --copy"
"executing-plans","OK","npx skills add obra/superpowers --skill executing-plans --agent codex claude-code antigravity gemini-cli -y --copy"
"verification-before-completion","OK","npx skills add obra/superpowers --skill verification-before-completion --agent codex claude-code antigravity gemini-cli -y --copy"
"systematic-debugging","OK","npx skills add obra/superpowers --skill systematic-debugging --agent codex claude-code antigravity gemini-cli -y --copy"
"requesting-code-review","OK","npx skills add obra/superpowers --skill requesting-code-review --agent codex claude-code antigravity gemini-cli -y --copy"
"finishing-a-development-branch","OK","npx skills add obra/superpowers --skill finishing-a-development-branch --agent codex claude-code antigravity gemini-cli -y --copy"
"subagent-driven-development","OK","npx skills add obra/superpowers --skill subagent-driven-development --agent codex claude-code antigravity gemini-cli -y --copy"
"dispatching-parallel-agents","OK","npx skills add obra/superpowers --skill dispatching-parallel-agents --agent codex claude-code antigravity gemini-cli -y --copy"
"using-git-worktrees","OK","npx skills add obra/superpowers --skill using-git-worktrees --agent codex claude-code antigravity gemini-cli -y --copy"
"webapp-testing","OK","npx skills add anthropics/skills --skill webapp-testing --agent codex claude-code antigravity gemini-cli -y --copy"
